Annee,Violences physiques ou sexuelles femmes,Violences physiques ou sexuelles hommes,Menaces ou insultes femmes,Menaces ou insultes hommes  ,Vols avec ou sans violences femmes,Vols avec ou sans violences hommes
2009,403,478,2884,2705,415,488
2010,429,480,2744,2378,534,423
2011,339,339,2755,2551,433,550
2012,370,392,2567,2304,468,388
2013,328,437,2766,2716,427,522
2014,332,375,2823,2389,519,507
2015,406,408,2994,2617,513,460
2016,472,370,3067,2454,377,446
2017,405,329,2900,2511,391,398
2018,422,400,3087,2831,587,481
2019,429,383,2986,2535,421,537